text,label
give me the intuition behind determinants,EXPLAIN_INTUITIVELY
interpret the results of this p-value,RESULT_INTERPRETATION
find an analogy to help me understand post-quantum cryptography,ANALOGY_GENERATION
did I get the this problem right,CHECK_ANSWER
fill in the rest of this Python recursion code,COMPLETE_CODE
are the units consistent in F = ma,UNIT_ANALYSIS
show the derivation of the distance formula,DERIVE_FORMULA
CNNs and Transformers: which is better,COMPARE_METHODS
what is the space complexity of my binary search function,FIND_COMPLEXITY
what are real-world applications of vector spaces,REAL_WORLD_APPLICATION
analyze whether this algorithm is correct,VERIFY_REASONING
how do these papers differ,COMPARE_PAPERS
Explain BST degeneration when inserting sorted keys,EXPLAIN_CONCEPT
what's an open problem in NLP,RESEARCH_IDEA
critique this graph,VISUALIZATION_IMPROVEMENT
what's a good metaphor for dynamic programming,ANALOGY_GENERATION
simplify the expression x^2 - 9,SIMPLIFY_EXPRESSION
make quiz questions for cryptography,CREATE_QUIZ
generate harder versions of these database systems problems,GENERATE_PRACTICE_PROBLEMS
verify my reasoning about this algorithm,VERIFY_REASONING
draw the graph of x^3 - 3x,GRAPH_FUNCTION
derive the volume of a sphere,DERIVE_FORMULA
analyze this experiment's data,DATA_ANALYSIS
what's an open problem in computer vision,RESEARCH_IDEA
what's wrong with my force calculation,FIND_ERROR
how should I revise MPI for the exam,EXAM_PREPARATION
what does negative temperature actually mean,EXPLAIN_PHYSICAL_MEANING
explain how this BFS implementation works,EXPLAIN_CODE
create flashcards for digital logic,CREATE_FLASHCARDS
compute the period of a 1 m pendulum,SOLVE_NUMERICAL
check my proof of this induction proof,VERIFY_REASONING
Explain precision and recall.,EXPLAIN_CONCEPT
generate related work for image segmentation,LITERATURE_REVIEW
generate harder versions of these machine learning problems,GENERATE_PRACTICE_PROBLEMS
implement Dijkstra's algorithm in Java,GENERATE_CODE
explain the physical meaning of entropy,EXPLAIN_PHYSICAL_MEANING
what's a good metaphor for regularization,ANALOGY_GENERATION
find an analogy to help me understand entropy,ANALOGY_GENERATION
what do these p-values tell me,RESULT_INTERPRETATION
generate harder versions of these cryptography problems,GENERATE_PRACTICE_PROBLEMS
generate practice questions on OpenCL,GENERATE_PRACTICE_PROBLEMS
compute the velocity after 5 seconds under gravity,SOLVE_NUMERICAL
explain ambiguity in context-free grammars like I'm five,ELI5_EXPLANATION
what is the velocity after 5 seconds under gravity,SOLVE_NUMERICAL
tell me about SLAM,EXPLAIN_CONCEPT
generate Dijkstra's algorithm in Java,GENERATE_CODE
give practical applications of eigenvalues,REAL_WORLD_APPLICATION
spot the flaw in my algebra,FIND_ERROR
Flowchart the TCP connection lifecycle from SYN to FIN,DRAW_FLOWCHART
help me select features for my model,FEATURE_SELECTION
how should I revise data structures for the exam,EXAM_PREPARATION
Explain ambiguity in CFGs.,EXPLAIN_CONCEPT
design an elevator control system,SYSTEM_DESIGN
compute the electric field at point P,SOLVE_NUMERICAL
create memory tricks for algorithm analysis,EXAM_PREPARATION
why did my model not converging,MODEL_EXPLANATION
identify research gaps in NLP,RESEARCH_IDEA
turn digital logic into flashcards,CREATE_FLASHCARDS
find the mistake in my derivation,FIND_ERROR
graph the curve y = -x^2 + 4,GRAPH_FUNCTION
contrast analog and digital signals,COMPARE_METHODS
draw the graph of e^x,GRAPH_FUNCTION
simplify (2x + 4)/2,SIMPLIFY_EXPRESSION
differentiate e^x,DIFFERENTIATE_FUNCTION
analyze the statistical significance in these survey results,DATA_ANALYSIS
create flashcards for algorithm analysis,CREATE_FLASHCARDS
check the units of F = ma,UNIT_ANALYSIS
where is garbage collection used in practice,REAL_WORLD_APPLICATION
show the parts of the nephron,DRAW_LABELED_DIAGRAM
find the complexity of this BFS implementation,FIND_COMPLEXITY
"I solved it and got 3/5, is that right",CHECK_MATH_SOLUTION
Create a cryptography viva.,CREATE_QUIZ
generate quantum-resistant alternatives for computer vision,RESEARCH_IDEA
what does the Hamiltonian actually mean,EXPLAIN_PHYSICAL_MEANING
show a proof for the binomial theorem,PROVE_THEOREM
design a system for an elevator control system,SYSTEM_DESIGN
verify my reasoning about the parser,VERIFY_REASONING
explain the chain rule like I'm five,ELI5_EXPLANATION
what does this merge sort do,EXPLAIN_CODE
help me prepare for tomorrow's data structures exam,EXAM_PREPARATION
analyze the impulse response,SIGNAL_ANALYSIS
what is the space complexity of this Python recursion code,FIND_COMPLEXITY
how is vector spaces used in real life applications,REAL_WORLD_APPLICATION
flowchart the process of TCP connection lifecycle,DRAW_FLOWCHART
what trends are in this time series,DATA_ANALYSIS
Why does dynamic programming work?,EXPLAIN_CONCEPT
what's the intuitive idea behind regularization,EXPLAIN_INTUITIVELY
"I solved it and got x = 0 and x = 3, is that right",CHECK_MATH_SOLUTION
generate practice questions on cryptography,GENERATE_PRACTICE_PROBLEMS
architect a waste-sorting robot,SYSTEM_DESIGN
fix the bug in my binary search function,DEBUG_CODE
walk me through this sorting function,EXPLAIN_CODE
find the bug causing segmentation faults in my binary search function,DEBUG_CODE
summarize my notes on compiler design,SUMMARIZE_NOTES
what does my binary search function do,EXPLAIN_CODE
what is the space complexity of this sorting function,FIND_COMPLEXITY
what is the Big-O of this nested loop,FIND_COMPLEXITY
find an analogy to help me understand blockchain consensus,ANALOGY_GENERATION
give me exam tips for data structures,EXAM_PREPARATION
Analyze statistical significance.,DATA_ANALYSIS
is my answer x = -2 correct,CHECK_MATH_SOLUTION
analyze these survey results,DATA_ANALYSIS
what do these accuracy metrics tell me,RESULT_INTERPRETATION
explain SLAM in the simplest terms,ELI5_EXPLANATION
find the Fourier transform of this signal,SIGNAL_ANALYSIS
Explain confidence intervals.,EXPLAIN_CONCEPT
what's the time complexity of this algorithm,FIND_COMPLEXITY
show the parts of a plant cell,DRAW_LABELED_DIAGRAM
Design a waste-sorting robot.,SYSTEM_DESIGN
determine the Bode plot,SIGNAL_ANALYSIS
do a dimensional analysis of the energy equation,UNIT_ANALYSIS
explain vector spaces like I'm a beginner,ELI5_EXPLANATION
Compare Random Forest and XGBoost.,COMPARE_METHODS
generate related work for post-quantum cryptography,LITERATURE_REVIEW
explain the photoelectric effect in the simplest terms,ELI5_EXPLANATION
what is regularization,EXPLAIN_CONCEPT
turn OpenCL into flashcards,CREATE_FLASHCARDS
help me select features for this regression,FEATURE_SELECTION
Generate exam-level challenges.,GENERATE_PRACTICE_PROBLEMS
show ln(x) on a coordinate plane,GRAPH_FUNCTION
finish this this BFS implementation,COMPLETE_CODE
compute the equivalent resistance of this RC circuit,CIRCUIT_ANALYSIS
do an exploratory analysis of this experiment's data,DATA_ANALYSIS
find the derivative of cos(x)/x and explain every step,SOLVE_STEP_BY_STEP
analyze the statistical significance in this experiment's data,DATA_ANALYSIS
generate quicksort in Python,GENERATE_CODE
determine the Fourier transform of this signal,SIGNAL_ANALYSIS
compute d/dx of y = -x^2 + 4,DIFFERENTIATE_FUNCTION
show the derivation of the kinematic equations,DERIVE_EQUATION
explain why my model overfitting,MODEL_EXPLANATION
explain the chain rule intuitively,EXPLAIN_INTUITIVELY
what's wrong with my limit computation,FIND_ERROR
what's an open problem in machine learning,RESEARCH_IDEA
check dimensional consistency of F = ma,UNIT_ANALYSIS
find the electric field at point P,SOLVE_NUMERICAL
explain quantum tunneling intuitively,EXPLAIN_INTUITIVELY
finish this this Python recursion code,COMPLETE_CODE
simplify the expression cos(x)/x,SIMPLIFY_EXPRESSION
factorize x^2 - 9,FACTOR_EXPRESSION
what is the antiderivative of 1/(x^2+1),INTEGRATE_FUNCTION
what is the derivative of x^2 e^-x,DIFFERENTIATE_FUNCTION
generate practice questions on MPI,GENERATE_PRACTICE_PROBLEMS
Draw a flowchart comparing A* vs Dijkstra pathfinding,DRAW_FLOWCHART
how is ambiguity in context-free grammars used in real life,REAL_WORLD_APPLICATION
prepare me for my algorithm analysis exam,EXAM_PREPARATION
graph the curve sqrt(x),GRAPH_FUNCTION
prove Bayes theorem,PROVE_THEOREM
which variables should I drop in this sales data,FEATURE_SELECTION
find the transfer function,SIGNAL_ANALYSIS
design a temperature regulation system,SYSTEM_DESIGN
is my reasoning correct for this algorithm,VERIFY_REASONING
explain vector spaces in the simplest terms,ELI5_EXPLANATION
give me exam tips for operating systems,EXAM_PREPARATION
why did my model performing poorly on test data,MODEL_EXPLANATION
check my the homework calculations,CHECK_ANSWER
find the derivative of sin(x)/x,DIFFERENTIATE_FUNCTION
evaluate the experimental design of this thesis chapter,CRITIQUE_METHOD
compute the force on a 5 kg mass accelerating at 2 m/s^2,SOLVE_NUMERICAL
reduce x^2 - 9 to simplest form,SIMPLIFY_EXPRESSION
factor the expression x^2 - 5x + 6,FACTOR_EXPRESSION
what is the antiderivative of ln(x),INTEGRATE_FUNCTION
review this chart,VISUALIZATION_IMPROVEMENT
flowchart the process of a login system,DRAW_FLOWCHART
find the derivative of sqrt(x),DIFFERENTIATE_FUNCTION
improve this visualization,VISUALIZATION_IMPROVEMENT
"I got y = 7, check if my answer is correct",CHECK_MATH_SOLUTION
solve (x^2 - 4)/(x - 2) step by step,SOLVE_STEP_BY_STEP
visualize the steps of DNA replication on my canvas,DRAW_FLOWCHART
what's the difference between SN1 and SN2 reactions,COMPARE_METHODS
simplify 3x + 2x - x,SIMPLIFY_EXPRESSION
contrast L1 and L2 regularization,COMPARE_METHODS
Review this graph and suggest improvements.,VISUALIZATION_IMPROVEMENT
compare AES and ChaCha20,COMPARE_METHODS
which variables should I drop in this time series,FEATURE_SELECTION
Check my circuit calculations.,CHECK_ANSWER
how does limits work,EXPLAIN_CONCEPT
calculate the final temperature of the mixture,SOLVE_NUMERICAL
give me a summary of this lecture,SUMMARIZE_NOTES
how would you design a home automation system,SYSTEM_DESIGN
what is the electric field at point P,SOLVE_NUMERICAL
design an algorithm for route planning,ALGORITHM_DESIGN
find the integral of x^2 cos(x),INTEGRATE_FUNCTION
give a proof of that there are infinitely many primes,PROVE_THEOREM
explain angular momentum like I'm five,ELI5_EXPLANATION
work through cos(x)/x step by step,SOLVE_STEP_BY_STEP
draw a flowchart of bubble sort,DRAW_FLOWCHART
generate viva questions for CUDA,CREATE_QUIZ
debug this sorting function,DEBUG_CODE
explain the limitations of this conference paper,CRITIQUE_METHOD
draw and label a four-stroke engine,DRAW_LABELED_DIAGRAM
Draw degenerated vs balanced BST for insertion orders,DRAW_LABELED_DIAGRAM
contrast RSA and Kyber,COMPARE_METHODS
BFS and DFS: which is better,COMPARE_METHODS
compute d/dx of ln(x),DIFFERENTIATE_FUNCTION
visualize SLAM intuitively,EXPLAIN_INTUITIVELY
show the steps of A* pathfinding as a flowchart,DRAW_FLOWCHART
what are real-world applications of eigenvalues,REAL_WORLD_APPLICATION
Identify research gaps.,RESEARCH_IDEA
graph the curve tan(x),GRAPH_FUNCTION
Critique this visualization and redraw it.,VISUALIZATION_IMPROVEMENT
check my physics calculations,CHECK_ANSWER
is light travels faster than sound accurate,FACT_CHECK
compute the impulse response,SIGNAL_ANALYSIS
what is dynamic programming,EXPLAIN_CONCEPT
verify the correctness of this algorithm,VERIFY_REASONING
explain entropy like I'm a beginner,ELI5_EXPLANATION
find the factors of 2x^2 + 7x + 3,FACTOR_EXPRESSION
help me select features for this sales data,FEATURE_SELECTION
visualize angular momentum intuitively,EXPLAIN_INTUITIVELY
give me exam tips for machine learning,EXAM_PREPARATION
what are real-world applications of quantum tunneling,REAL_WORLD_APPLICATION
Find the derivative of x^2 sin(x) and explain every step.,SOLVE_STEP_BY_STEP
give me code for quicksort in Python,GENERATE_CODE
explain this Python recursion code,EXPLAIN_CODE
what is the derivative of y = x^2,DIFFERENTIATE_FUNCTION
what do this p-value tell me,RESULT_INTERPRETATION
check my this problem calculations,CHECK_ANSWER
devise an algorithm for detecting cycles in a graph,ALGORITHM_DESIGN
"I solved it and got y = 7, is that right",CHECK_MATH_SOLUTION
what's wrong with my proof attempt,FIND_ERROR
what are the key ideas of blockchain consensus,EXPLAIN_CONCEPT
give me an analogy for blockchain consensus,ANALOGY_GENERATION
compare SN1 and SN2 reactions,COMPARE_METHODS
give me an analogy for virtual memory,ANALOGY_GENERATION
fix the bug in my linked list code,DEBUG_CODE
test my understanding of CUDA,CREATE_QUIZ
make practice problems about OpenCL,GENERATE_PRACTICE_PROBLEMS
explain how my linked list code works,EXPLAIN_CODE
identify research gaps in distributed systems,RESEARCH_IDEA
simplify the expression 2x^2 - 8,SIMPLIFY_EXPRESSION
give me a summary of CUDA,SUMMARIZE_NOTES
make quiz questions for algorithm analysis,CREATE_QUIZ
how is electromagnetic induction used in real life applications,REAL_WORLD_APPLICATION
find the mistake in my integration,FIND_ERROR
sketch the human eye and label its parts,DRAW_LABELED_DIAGRAM
compute the integral of x e^x,INTEGRATE_FUNCTION
give a proof of the binomial theorem,PROVE_THEOREM
which features should I remove from this sales data,FEATURE_SELECTION
what's the time complexity of this sorting function,FIND_COMPLEXITY
generate exam-level challenges for data structures,GENERATE_PRACTICE_PROBLEMS
what is determinants,EXPLAIN_CONCEPT
generate related work for federated learning,LITERATURE_REVIEW
turn algorithm analysis into flashcards,CREATE_FLASHCARDS
help me prepare for tomorrow's operating systems exam,EXAM_PREPARATION
find the derivative of e^x cos(x) and explain every step,SOLVE_STEP_BY_STEP
explain the limitations of this thesis chapter,CRITIQUE_METHOD
generate practice questions on compiler design,GENERATE_PRACTICE_PROBLEMS
help me build intuition for eigenvalues,EXPLAIN_INTUITIVELY
verify my answer x = 0 and x = 3,CHECK_MATH_SOLUTION
complete the implementation of this class,COMPLETE_CODE
find the complexity of my binary search function,FIND_COMPLEXITY
generate practice questions on computer networks,GENERATE_PRACTICE_PROBLEMS
come up with an algorithm to load balancing,ALGORITHM_DESIGN
create a quiz on computer networks,CREATE_QUIZ
Compare RSA and Kyber.,COMPARE_METHODS
give a proof of Bayes theorem,PROVE_THEOREM
make flashcards on compiler design,CREATE_FLASHCARDS
explain wave-particle duality intuitively,EXPLAIN_INTUITIVELY
find an analogy to help me understand angular momentum,ANALOGY_GENERATION
explore these survey results,DATA_ANALYSIS
find the voltage across this RC circuit,CIRCUIT_ANALYSIS
Write Dijkstra's algorithm in Java.,GENERATE_CODE
show a proof for that sqrt(2) is irrational,PROVE_THEOREM
review my graph and suggest improvements,VISUALIZATION_IMPROVEMENT
what are real-world applications of matrix rank,REAL_WORLD_APPLICATION
differentiate x^3 - 3x,DIFFERENTIATE_FUNCTION
give a proof of that sqrt(2) is irrational,PROVE_THEOREM
critique the methodology of this research paper,CRITIQUE_METHOD
what trends are in this sales data,DATA_ANALYSIS
determine the force on a 5 kg mass accelerating at 2 m/s^2,SOLVE_NUMERICAL
evaluate the experimental design of this conference paper,CRITIQUE_METHOD
factor 6x^2 - x - 2,FACTOR_EXPRESSION
derive the lens equation,DERIVE_EQUATION
simplify x^2 sin(x),SIMPLIFY_EXPRESSION
Random Forest and XGBoost: which is better,COMPARE_METHODS
show a proof for that there are infinitely many primes,PROVE_THEOREM
analog and digital signals: which is better,COMPARE_METHODS
illustrate a mitochondrion with labels,DRAW_LABELED_DIAGRAM
draw and label the human heart,DRAW_LABELED_DIAGRAM
show the parts of a neuron,DRAW_LABELED_DIAGRAM
help me build intuition for the product rule,EXPLAIN_INTUITIVELY
fact-check this: water boils at 90C at sea level,FACT_CHECK
help me interpret these clustering results,RESULT_INTERPRETATION
generate exam-level challenges for database systems,GENERATE_PRACTICE_PROBLEMS
find the bug causing segmentation faults in this sorting function,DEBUG_CODE
check my solution: x = -2,CHECK_MATH_SOLUTION
improve the performance of this sorting function,OPTIMIZE_CODE
visualize the steps of a login system on my canvas,DRAW_FLOWCHART
improve the performance of my binary search function,OPTIMIZE_CODE
derive the formula for the area of a circle,DERIVE_FORMULA
test my understanding of cryptography,CREATE_QUIZ
propose a research idea for machine learning,RESEARCH_IDEA
create a quiz on MPI,CREATE_QUIZ
explain SLAM like I'm a beginner,ELI5_EXPLANATION
Why can't anything travel faster than light?,EXPLAIN_CONCEPT
what is the chain rule,EXPLAIN_CONCEPT
derive the equation for Maxwell's equations,DERIVE_EQUATION
Analyze this dataset.,DATA_ANALYSIS
why does this merge sort crash,DEBUG_CODE
Design an algorithm for route planning.,ALGORITHM_DESIGN
generate harder versions of these computer networks problems,GENERATE_PRACTICE_PROBLEMS
draw the graph of sqrt(x),GRAPH_FUNCTION
visualize the steps of the water cycle on my canvas,DRAW_FLOWCHART
Find the flaw in this theorem proof.,FIND_ERROR
optimize this BFS implementation,OPTIMIZE_CODE
generate harder versions of these compiler design problems,GENERATE_PRACTICE_PROBLEMS
test my understanding of computer networks,CREATE_QUIZ
what does the Poynting vector represent physically,EXPLAIN_PHYSICAL_MEANING
which variables should I drop in this regression,FEATURE_SELECTION
architect an elevator control system,SYSTEM_DESIGN
test my understanding of data structures,CREATE_QUIZ
what's wrong with my algebra,FIND_ERROR
help me interpret these YOLO detection results,RESULT_INTERPRETATION
find the bug causing segmentation faults in this BFS implementation,DEBUG_CODE
verify my answer for physics,CHECK_ANSWER
sketch sqrt(x),GRAPH_FUNCTION
where does the distance formula come from,DERIVE_FORMULA
compute the integral of x^2 cos(x),INTEGRATE_FUNCTION
find the complexity of this dynamic programming solution,FIND_COMPLEXITY
summarize my notes on algorithm analysis,SUMMARIZE_NOTES
create flashcards for compiler design,CREATE_FLASHCARDS
give me practice problems for OpenCL,GENERATE_PRACTICE_PROBLEMS
compare supervised and unsupervised learning,COMPARE_METHODS
explain why my model predicting only one class,MODEL_EXPLANATION
prepare me for my cryptography exam,EXAM_PREPARATION
give me code for Arduino code to blink an LED,GENERATE_CODE
analyze whether the parser is correct,VERIFY_REASONING
show where my proof attempt went wrong,FIND_ERROR
identify research gaps in robotics,RESEARCH_IDEA
solve 1/(x^2 + 1) and explain each step,SOLVE_STEP_BY_STEP
work through 1/(x^2 + 1) step by step,SOLVE_STEP_BY_STEP
create flashcards for database systems,CREATE_FLASHCARDS
plot x^3 - 3x,GRAPH_FUNCTION
prove that the fundamental theorem of calculus,PROVE_THEOREM
interpret this regression output,RESULT_INTERPRETATION
give me code for a binary search in C++,GENERATE_CODE
fill in the rest of this dynamic programming solution,COMPLETE_CODE
compare BFS and DFS,COMPARE_METHODS
find the derivative of ln(x),DIFFERENTIATE_FUNCTION
find the complexity of this sorting function,FIND_COMPLEXITY
find the kinetic energy of a 2 kg ball at 3 m/s,SOLVE_NUMERICAL
compare the results with prior work,COMPARE_PAPERS
prove that sqrt(2) is irrational,PROVE_THEOREM
suggest improvements because my model underfitting,MODEL_EXPLANATION
differentiate sin(x)/x,DIFFERENTIATE_FUNCTION
summarize computer networks,SUMMARIZE_NOTES
explain how this Python recursion code works,EXPLAIN_CODE
analyze the time complexity of this Python recursion code,FIND_COMPLEXITY
draw and label the respiratory system,DRAW_LABELED_DIAGRAM
give me an analogy for compiler parsing,ANALOGY_GENERATION
devise an algorithm for scheduling tasks,ALGORITHM_DESIGN
compare bagging and boosting,COMPARE_METHODS
help me prepare for tomorrow's MPI exam,EXAM_PREPARATION
give practical applications of regularization,REAL_WORLD_APPLICATION
Compare FCFS SJF and Round Robin for P1=10ms P2=4ms P3=2ms,DRAW_FLOWCHART
summarize MPI,SUMMARIZE_NOTES
show the derivation of the sum of an arithmetic series,DERIVE_FORMULA
give practical applications of vector spaces,REAL_WORLD_APPLICATION
check my chemistry calculations,CHECK_ANSWER
explain backpropagation like I'm a beginner,ELI5_EXPLANATION
draw a labeled diagram of a BJT transistor,DRAW_LABELED_DIAGRAM
where is wave-particle duality used in practice,REAL_WORLD_APPLICATION
Show compiler stages: lexical parser semantic optimizer codegen,DRAW_FLOWCHART
finish this this class,COMPLETE_CODE
give me practice problems for computer networks,GENERATE_PRACTICE_PROBLEMS
fill in the rest of my binary search function,COMPLETE_CODE
interpret the results of this ROC curve,RESULT_INTERPRETATION
verify whether humans use only 10% of their brain,FACT_CHECK
explain limits as if I knew nothing about it,ELI5_EXPLANATION
Suggest improvements to model performance.,MODEL_EXPLANATION
what does this Python recursion code do,EXPLAIN_CODE
visualize the steps of TCP connection lifecycle on my canvas,DRAW_FLOWCHART
help me interpret this regression output,RESULT_INTERPRETATION
optimize this SQL query for this Python recursion code,OPTIMIZE_CODE
give me an analogy for post-quantum cryptography,ANALOGY_GENERATION
verify the correctness of the parser,VERIFY_REASONING
Analyze algorithm correctness.,VERIFY_REASONING
visualize Taylor series intuitively,EXPLAIN_INTUITIVELY
make this Python recursion code faster,OPTIMIZE_CODE
improve this figure for learning,VISUALIZATION_IMPROVEMENT
test my understanding of MPI,CREATE_QUIZ
make quiz questions for OpenCL,CREATE_QUIZ
what does this graph traversal do,EXPLAIN_CODE
turn computer networks into flashcards,CREATE_FLASHCARDS
integrate sin^2(x),INTEGRATE_FUNCTION
create flashcards for machine learning,CREATE_FLASHCARDS
show a proof for the fundamental theorem of calculus,PROVE_THEOREM
what is the product rule,EXPLAIN_CONCEPT
make practice problems about algorithm analysis,GENERATE_PRACTICE_PROBLEMS
work through (x^2 - 4)/(x - 2) step by step,SOLVE_STEP_BY_STEP
check dimensional consistency of this formula,UNIT_ANALYSIS
give me code for a logistic regression in Python,GENERATE_CODE
make a flowchart for bubble sort,DRAW_FLOWCHART
make this dynamic programming solution faster,OPTIMIZE_CODE
derive the equation for the wave equation,DERIVE_EQUATION
find the integral of sec^2(x),INTEGRATE_FUNCTION
give practical applications of the uncertainty principle,REAL_WORLD_APPLICATION
generate a logistic regression in Python,GENERATE_CODE
Suggest a novel research direction.,RESEARCH_IDEA
complete the implementation of my binary search function,COMPLETE_CODE
what is the antiderivative of sin^2(x),INTEGRATE_FUNCTION
generate OpenCL interview questions,CREATE_QUIZ
reduce 2x^2 - 8 to simplest form,SIMPLIFY_EXPRESSION
visualize the steps of BST insertion order on my canvas,DRAW_FLOWCHART
find the bug in my binary search function,DEBUG_CODE
fix the y-range on this graph,VISUALIZATION_IMPROVEMENT
I got x=4 for this equation. Check if my answer is correct.,CHECK_MATH_SOLUTION
what trends are in these survey results,DATA_ANALYSIS
explain post-quantum cryptography in the simplest terms,ELI5_EXPLANATION
what are the weaknesses of my experiment,CRITIQUE_METHOD
turn compiler design into flashcards,CREATE_FLASHCARDS
plot the function sqrt(x),GRAPH_FUNCTION
complete the implementation of this sorting function,COMPLETE_CODE
show where my algebra went wrong,FIND_ERROR
explain the product rule intuitively,EXPLAIN_INTUITIVELY
generate viva questions for cryptography,CREATE_QUIZ
why does this dynamic programming solution crash,DEBUG_CODE
tell me about angular momentum,EXPLAIN_CONCEPT
design a distributed system,SYSTEM_DESIGN
interpret these clustering results,RESULT_INTERPRETATION
interpret these p-values,RESULT_INTERPRETATION
solve x^3 - 3x and explain each step,SOLVE_STEP_BY_STEP
find the current through a 10 ohm resistor,SOLVE_NUMERICAL
spot the flaw in my derivation,FIND_ERROR
explain compiler parsing like I'm five,ELI5_EXPLANATION
SGD and Adam: which is better,COMPARE_METHODS
Explain PID control.,EXPLAIN_CONCEPT
find the bug in this Python recursion code,DEBUG_CODE
what are the weaknesses of this study,CRITIQUE_METHOD
do a dimensional analysis of this formula,UNIT_ANALYSIS
interpret these confidence intervals,RESULT_INTERPRETATION
Generate viva questions.,CREATE_QUIZ
how is the chain rule used in real life applications,REAL_WORLD_APPLICATION
